strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
2004-43128_MH790615_2004-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH790615	2004-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790615	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2011-21768_MH790618_2011-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH790618	2011-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790618	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2018-3121_MH790624_2006-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH790624	2006-XX-XX	Senegal	Africa	Senegal	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790624	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2006-14300CAM_MH790630_2019-03-06	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH790630	2019-03-06	?	?	?	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790630	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2006-16150CAM_MH790658_2019-03-06	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH790658	2019-03-06	?	?	?	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH790658	HSV2 whole genome sequences from clinical isolates	Unpublished	?
2006-15095_MH899846_2006-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MH899846	2006-XX-XX	Cameroon	Africa	Cameroon	BioProject: PRJNA338014	Roychoudhury et al	https://www.ncbi.nlm.nih.gov/nuccore/MH899846	HSV2 whole genome sequences from clinical isolates	Unpublished	?
CNS03_MK105995_2019-01-30	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MK105995	2019-01-30	?	?	?	?	Akhtar et al	https://www.ncbi.nlm.nih.gov/nuccore/MK105995	Genotypic and phenotypic diversity within the neonatal HSV-2	Unpublished	?
DISS29_MK106001_2019-01-30	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MK106001	2019-01-30	?	?	?	?	Akhtar et al	https://www.ncbi.nlm.nih.gov/nuccore/MK106001	Genotypic and phenotypic diversity within the neonatal HSV-2	Unpublished	?
SEM18_MK106004_2019-01-30	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MK106004	2019-01-30	?	?	?	?	Akhtar et al	https://www.ncbi.nlm.nih.gov/nuccore/MK106004	Genotypic and phenotypic diversity within the neonatal HSV-2	Unpublished	?
2009-4463_MF621258_2023-10-27	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	MF621258	2023-10-27	?	?	?	BioProject: PRJNA338014	Johnston et al	https://www.ncbi.nlm.nih.gov/nuccore/MF621258	Dual-strain genital herpes simplex virus type 2 (HSV-2) infection	PLoS Med. 14 (12), e1002475 (2017)	https://pubmed.ncbi.nlm.nih.gov/29281620
HSV2-H1227_KY922721_2017-09-27	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KY922721	2017-09-27	?	?	?	?	Bowen et al	https://www.ncbi.nlm.nih.gov/nuccore/KY922721	Genome sequence of seven herpes simplex virus 2 clinical isolates	Unpublished	?
2006-29060_KX574864_2005-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KX574864	2005-XX-XX	Zambia	Africa	Zambia	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574864	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
2006-30839_KX574865_2005-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KX574865	2005-XX-XX	Peru	South America	Peru	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574865	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
2006-45028_KX574867_2005-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KX574867	2005-XX-XX	Peru	South America	Peru	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574867	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
2007-39303_KX574878_2007-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KX574878	2007-XX-XX	Peru	South America	Peru	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574878	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
2011-21761_KX574897_1998-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KX574897	1998-XX-XX	USA	North America	USA	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574897	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
2009-409_KX574902_2006-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KX574902	2006-XX-XX	Tanzania	Africa	Tanzania	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574902	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
2012-9333_KX574906_2011-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KX574906	2011-XX-XX	Uganda	Africa	Uganda	BioProject: PRJNA338014	Koelle et al	https://www.ncbi.nlm.nih.gov/nuccore/KX574906	Worldwide circulation of HSV-2 x HSV-1 recombinant strains	Sci Rep 7, 44084 (2017)	https://pubmed.ncbi.nlm.nih.gov/28287142
pat1_KF588450_2008-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KF588450	2008-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/KF588450	Genetic diversity within alphaherpesviruses: characterization of a	Unpublished	?
pat2_KF588451_2010-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KF588451	2010-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/KF588451	Genetic diversity within alphaherpesviruses: characterization of a	Unpublished	?
pat6_KF588455_2008-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KF588455	2008-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/KF588455	Genetic diversity within alphaherpesviruses: characterization of a	Unpublished	?
pat8_KF588457_2009-XX-XX	Human alphaherpesvirus 2	HSV2_gL	Homo sapiens	KF588457	2009-XX-XX	France	Europe	France	?	Burrel et al	https://www.ncbi.nlm.nih.gov/nuccore/KF588457	Genetic diversity within alphaherpesviruses: characterization of a	Unpublished	?
