strain	virus	gene	host	accession	date	location	region	country	database	authors	url	title	journal	paper_url
HS020_MK540277_2010-11-24	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540277	2010-11-24	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540277	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
HS050_MK540295_2013-11-03	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540295	2013-11-03	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540295	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NHS004_MK540302_2013-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540302	2013-XX-XX	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540302	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCS031_MK540341_2012-09-10	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540341	2012-09-10	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540341	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCS035_MK540344_2012-03-01	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540344	2012-03-01	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540344	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCT021_MK540378_2013-04-24	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540378	2013-04-24	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540378	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCT037_MK540391_2013-05-03	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540391	2013-05-03	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540391	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCT085_MK540442_2013-11-06	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540442	2013-11-06	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540442	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NPCT110_MK540465_2013-04-02	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MK540465	2013-04-02	China	Asia	China	?	Xu et al	https://www.ncbi.nlm.nih.gov/nuccore/MK540465	Genome sequencing analysis identifies high-risk Epstein-Barr virus	Unpublished	?
NKTCL-SG03_MH144214_2019-03-19	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MH144214	2019-03-19	Singapore	Asia	Singapore	?	Peng et al	https://www.ncbi.nlm.nih.gov/nuccore/MH144214	Genomic and transcriptomic landscapes of Epstein-Barr virus in	Leukemia (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30546078
NKTCL-SG05_MH144216_2019-03-19	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MH144216	2019-03-19	Singapore	Asia	Singapore	?	Peng et al	https://www.ncbi.nlm.nih.gov/nuccore/MH144216	Genomic and transcriptomic landscapes of Epstein-Barr virus in	Leukemia (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30546078
ebv6_MH883755_2018-09-18	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MH883755	2018-09-18	?	?	?	?	Correia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH883755	Sequence variation of Epstein-Barr virus: viral types, geography,	J. Virol. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30111570
ebv13_MH883759_2018-09-18	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MH883759	2018-09-18	?	?	?	?	Correia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH883759	Sequence variation of Epstein-Barr virus: viral types, geography,	J. Virol. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30111570
P4-T1_MH883779_2018-09-18	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MH883779	2018-09-18	?	?	?	?	Correia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH883779	Sequence variation of Epstein-Barr virus: viral types, geography,	J. Virol. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30111570
GK_Akuba_MG298830_2015-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG298830	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298830	Epstein Barr virus genome variation	Unpublished	?
IMS_Saliva_177_MG298849_2015-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG298849	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298849	Epstein Barr virus genome variation	Unpublished	?
JC_002_MG298864_2015-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG298864	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298864	Epstein Barr virus genome variation	Unpublished	?
JM_NPC_biop_162_MG298879_2015-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG298879	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298879	Epstein Barr virus genome variation	Unpublished	?
JM_NPC_bru_L16_MG298888_2015-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG298888	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298888	Epstein Barr virus genome variation	Unpublished	?
JM_NPC_bru_L4_MG298893_2015-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG298893	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298893	Epstein Barr virus genome variation	Unpublished	?
JM_NPC_bru_L5_MG298897_2015-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG298897	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298897	Epstein Barr virus genome variation	Unpublished	?
JM_NPC_bru_L7_MG298898_2015-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG298898	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298898	Epstein Barr virus genome variation	Unpublished	?
JWBL121B_MG298903_2015-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG298903	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298903	Epstein Barr virus genome variation	Unpublished	?
RK_LCL_L2_MG298912_2015-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG298912	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298912	Epstein Barr virus genome variation	Unpublished	?
JC_VID41_BWA_MG298928_2015-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG298928	2015-XX-XX	United Kingdom	Europe	United Kingdom	?	Palser et al	https://www.ncbi.nlm.nih.gov/nuccore/MG298928	Epstein Barr virus genome variation	Unpublished	?
EBVaGC8-2_MG021314_2014-09-24	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	MG021314	2014-09-24	China	Asia	China	?	Borozan et al	https://www.ncbi.nlm.nih.gov/nuccore/MG021314	Analysis of Epstein-Barr Virus Genomes and Expression Profiles in	J. Virol. (2017) In press	https://pubmed.ncbi.nlm.nih.gov/29093097
RPF_KR063344_1980-10-11	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	KR063344	1980-10-11	Brazil	South America	Brazil	?	Lei et al	https://www.ncbi.nlm.nih.gov/nuccore/KR063344	Epstein-Barr virus from Burkitt Lymphoma biopsies from Africa and	Sci Rep 5, 16706 (2015)	https://pubmed.ncbi.nlm.nih.gov/26593963
sLCL-2-22_LN831023_2015-09-24	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	LN831023	2015-09-24	Kenya	Africa	Kenya	BioProject: PRJEB8613	Grayson et al	https://www.ncbi.nlm.nih.gov/nuccore/LN831023	Direct Submission	Submitted (06-MAR-2015) SC, Virus genomics, Wellcome Trust Sanger	?
EBV_Mak_1_LN824203_2015-09-24	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	LN824203	2015-09-24	Kenya	Africa	Kenya	BioProject: PRJEB8613	Grayson et al	https://www.ncbi.nlm.nih.gov/nuccore/LN824203	Direct Submission	Submitted (26-FEB-2015) SC, Virus genomics, Wellcome Trust Sanger	?
Daudi_LN827545_2015-09-24	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	LN827545	2015-09-24	Kenya	Africa	Kenya	BioProject: PRJEB8613	Grayson et al	https://www.ncbi.nlm.nih.gov/nuccore/LN827545	Direct Submission	Submitted (26-FEB-2015) SC, Virus genomics, Wellcome Trust Sanger	?
sLCL-IS1-13_LN827578_2015-11-29	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	LN827578	2015-11-29	Australia	Oceania	Australia	BioProject: PRJEB8613	Grayson et al	https://www.ncbi.nlm.nih.gov/nuccore/LN827578	Direct Submission	Submitted (26-FEB-2015) SC, Virus genomics, Wellcome Trust Sanger	?
sLCL-2-16_LN827580_2015-09-24	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	LN827580	2015-09-24	Kenya	Africa	Kenya	BioProject: PRJEB8613	Grayson et al	https://www.ncbi.nlm.nih.gov/nuccore/LN827580	Direct Submission	Submitted (26-FEB-2015) SC, Virus genomics, Wellcome Trust Sanger	?
HN3_AB850648_2012-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	AB850648	2012-XX-XX	China:Hunan	Asia	China	?	Xiao et al	https://www.ncbi.nlm.nih.gov/nuccore/AB850648	Target Capture and Whole Genome Sequencing of EBV from Primary	Unpublished	?
HKNPC5_KF992567_2008-XX-XX	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	KF992567	2008-XX-XX	Hong Kong	Asia	Hong Kong	?	Kwok et al	https://www.ncbi.nlm.nih.gov/nuccore/KF992567	Genomic diversity of epstein-barr virus genomes isolated from	J. Virol. 88 (18), 10662-10672 (2014)	https://pubmed.ncbi.nlm.nih.gov/24991008
Akata_KC207813_2012-12-28	Human gammaherpesvirus 4	EBV_gp42	Homo sapiens	KC207813	2012-12-28	Japan	Asia	Japan	?	Lin et al	https://www.ncbi.nlm.nih.gov/nuccore/KC207813	Whole-Genome Sequencing of the Akata and Mutu Epstein-Barr Virus	J. Virol. 87 (2), 1172-1182 (2013)	https://pubmed.ncbi.nlm.nih.gov/23152513
P3HR-1_HR-1_M20820_2016-07-25	Human gammaherpesvirus 4	EBV_gp42	?	M20820	2016-07-25	?	?	?	?	Jenson et al	https://www.ncbi.nlm.nih.gov/nuccore/M20820	Polymorphisms of the region of the Epstein-Barr virus genome which	Virology 165 (2), 549-564 (1988)	https://pubmed.ncbi.nlm.nih.gov/2841800
B95-8_V01555_2016-07-26	Human gammaherpesvirus 4	EBV_gp42	?	V01555	2016-07-26	?	?	?	?	Arrand et al	https://www.ncbi.nlm.nih.gov/nuccore/V01555	Molecular cloning of the complete Epstein-Barr virus genome as a	Nucleic Acids Res. 9 (13), 2999-3014 (1981)	https://pubmed.ncbi.nlm.nih.gov/6269068
